catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
63548,SBI,NA,M,SO,158,78,22,19,,,"Davis, J R","Davis, J R",Santa Barbara Id,,8/8/1972,8,8,1972
63549,SBI,NA,M,SS,154,67,20,18,,,"Westermeier, J F","Westermeier, J F",Santa Barbara Id,,5/9/1970,5,9,1970
86698,SCZ,NA,M,SN,165,75,20,17,,,"Lester, L A","Lester, L A",Santa Cruz Id; Prisoner's Harbor,,2/23/1967,2,23,1967
86699,SCZ,NA,F,SN,122,57,19,15,,,"Lester, L A","Lester, L A",Santa Cruz Id; Prisoner's Harbor,,2/24/1967,2,24,1967
86700,SCZ,NA,F,SK,165,83,20,18,,,"Lester, L A","Lester, L A",Santa Cruz Id; Prisoner's Harbor,,2/24/1967,2,24,1967
87852,SMI,NA,M,SN,,,19,18,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/16/1970,8,16,1970
87853,SMI,NA,M,SN,142,62,16,15,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/16/1970,8,16,1970
87854,SMI,NA,F,SN,130,60,17,16,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/16/1970,8,16,1970
87855,SMI,NA,F,SN,141,62,16,14,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/17/1970,8,17,1970
87856,SMI,NA,F,SN,152,70,20,15,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/17/1970,8,17,1970
87857,SMI,NA,M,SN,158,70,19,15,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/17/1970,8,17,1970
87858,SMI,NA,F,SN,162,65,20,14,,,"Donahue, J P","Abraham, H M","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87859,SMI,NA,M,SN,164,70,22,16,,,"Donahue, J P","Abraham, H M","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87860,SMI,NA,M,SN,164,71,21,19,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87861,SMI,NA,F,SN,140,65,19,18,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87862,SMI,NA,F,SN,153,75,21,18,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87863,SMI,NA,F,SN,145,67,20,16,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87864,SMI,NA,F,SN,146,68,18,15,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87865,SMI,NA,M,SN,145,68,15,13,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87866,SMI,NA,F,SN,141,70,18,15,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87867,SMI,NA,M,SN,147,69,13,13,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87868,SMI,NA,F,SN,156,69,18,17,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87869,SMI,NA,M,SN,155,68,17,16,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87870,SMI,NA,F,SN,145,64,17,17,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87871,SMI,NA,F,SN,145,70,18,17,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/18/1970,8,18,1970
87872,SMI,NA,M,SN,162,73,21,20,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87873,SMI,NA,M,SN,152,70,21,17,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87874,SMI,NA,F,SS,161,76,22,19,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
