catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
5870,SBI,NA,F,SS,185,76,21,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
6209,SNI,NA,F,SS,185,90,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6210,SNI,NA,F,SS,173,85,21,19,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6211,SNI,NA,M,SS,176,86,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6212,SNI,NA,M,SS,178,83,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6213,SNI,NA,M,SS,111,47,17,11,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6214,SNI,NA,M,SS,162,75,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/23/1939,7,23,1939
6215,SNI,NA,M,SS,162,76,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6216,SNI,NA,M,SS,173,78,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6217,SNI,NA,M,SS,170,75,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6218,SNI,NA,F,SS,175,83,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6219,SNI,NA,F,SS,190,92,22,20,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6220,SNI,NA,M,SS,174,87,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6221,SNI,NA,F,SS,147,77,21,17,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/24/1939,7,24,1939
6222,SNI,NA,F,SS,178,77,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6223,SNI,NA,F,SS,190,92,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
